indication,tcga_n,tcga_eligible,pct_eligible,seer_annual,est_eligible_pts,pct_cond0_C0_mean_>-0.16,pct_cond1_CCND1_<=1.14,pct_cond2_ERBB2_<=1.14,pct_cond3_C1_sd_<=0.76
Prostate,493,178,36.1,288300,104092,80.3,99.0,99.8,38.7
Breast,1082,244,22.6,310720,70070,80.8,82.9,88.4,36.0
Colorectal,592,262,44.3,153020,67722,78.4,99.7,96.6,54.9
Lung (adeno),510,131,25.7,130000,33392,70.8,98.0,98.2,33.3
Pancreas,177,84,47.5,66440,31531,68.9,99.4,96.6,62.7
Bladder,407,131,32.2,83190,26776,75.2,89.4,95.1,44.5
Kidney (clear cell),510,160,31.4,81800,25663,76.7,100.0,100.0,34.1
Lung (squamous),484,111,22.9,60000,13760,71.3,86.2,97.1,31.4
Uterus/Endometrial,527,102,19.4,66200,12813,78.0,98.7,94.3,22.0
Thyroid,498,140,28.1,44020,12375,79.7,100.0,100.0,30.1
Head and Neck,515,92,17.9,66470,11874,69.9,76.9,97.9,32.4
Stomach,412,158,38.3,26890,10312,72.8,94.7,86.9,61.2
Skin (melanoma),443,45,10.2,99780,10136,60.7,95.0,99.5,12.4
Liver,366,68,18.6,41630,7735,70.8,94.0,99.2,21.9
Esophageal,181,33,18.2,21560,3931,70.7,65.7,86.2,43.6
Ovarian,300,49,16.3,19710,3219,79.3,94.0,97.0,21.7
Cervical,294,57,19.4,13820,2679,72.4,98.0,94.9,22.4
Biliary/Cholangio,36,8,22.2,8000,1778,72.2,88.9,100.0,30.6
AML,173,10,5.8,20800,1202,63.0,98.3,100.0,6.4
Sarcoma,253,14,5.5,13590,752,60.5,97.6,99.6,5.5
